OE ZZZS,OBČINA_IME,ŠT.Prebivalcev,OE ZZZS izpostava,ZD,enota NMP,Površina v km2,
Nova Gorica,Ajdovščina,19741,Ajdovščina,ZD Ajdovščina,ZD Ajdovščina,245.20,
Koper,Ankaran/Ancarano,3249,Koper,ZD Koper,ZD Koper,8,
Kranj,Bled,8239,Radovljica,ZD Bled,ZD Bled,72.30,1.50,1,
Ljubljana,Bloke,1590,Cerknica,ZD Cerknica,ZD Cerknica,75.10,
Kranj,Bohinj,5771,Radovljica,ZD Bohinj,ZD Bled,333.70,1,
Ljubljana,Borovnica,4636,Vrhnika,ZD Vrhnika,RP UKCL,42.30,
Nova Gorica,Bovec,3204,Tolmin,ZD Tolmin,ZD Tolmin,367.30,
Nova Gorica,Brda,5641,Nova Gorica,ZD Nova Gorica,ZD Nova Gorica,72,
Ljubljana,Brezovica,12818,Ljubljana,ZD Ljubljana,RP UKCL,91.20,
Kranj,Cerklje na Gorenjskem,7875,Kranj,ZD Kranj,ZD Kranj,78,
Ljubljana,Cerknica,11681,Cerknica,ZD Cerknica,ZD Cerknica,241,1,1,
Ljubljana,Cerkno,4542,Idrija,ZD Idrija,ZD Idrija,131.50,
Novo mesto,Črnomelj,14337,Črnomelj,ZD Črnomelj,ZD Črnomelj,339.70,1,1,1,
Koper,Divača,4324,Sežana,ZD Sežana,ZD Sežana,145,
Ljubljana,Dobrepolje,3883,Grosuplje,ZD Grosuplje,RP UKCL,103.10,
Ljubljana,Dobrova - Polhov Gradec,7818,Ljubljana,ZD Ljubljana,RP UKCL,117.50,
Ljubljana,Dol pri Ljubljani,6333,Ljubljana,ZD Ljubljana,RP UKCL,33.30,
Novo mesto,Dolenjske Toplice,3570,Novo mesto,ZD Novo mesto,ZD Novo mesto,110.20,
Ljubljana,Domžale,36792,Domžale,ZD Domžale,ZD Domžale,72.30,1.50,0.27,1,
Kranj,Gorenja vas - Poljane,7666,Škofja Loka,ZD Škofja Loka,ZD Škofja Loka,153.30,
Kranj,Gorje,2800,Radovljica,ZD Bled,ZD Bled,116.20,
Ljubljana,Grosuplje,21279,Grosuplje,ZD Grosuplje,RP UKCL,133.80,
Ljubljana,Horjul,2997,Ljubljana,ZD Ljubljana,RP UKCL,32.50,
Koper,Hrpelje - Kozina,4874,Sežana,ZD Sežana,ZD Sežana,194.90,
Ljubljana,Idrija,11723,Idrija,ZD Idrija,ZD Idrija,293.60,1.50,0.30,1,1,
Ljubljana,Ig,7707,Ljubljana,ZD Ljubljana,RP UKCL,98.80,
Koper,Ilirska Bistrica,13354,Ilirska Bistrica,ZD Ilirska Bistrica,ZD Ilirska Bistrica,480,1.30,1,1,
Ljubljana,Ivančna Gorica*,17587,Grosuplje,ZD Ivančna Gorica,RP UKCL,227,0.20,1,
Koper,Izola/Isola,16717,Izola,ZD Izola,ZD Izola,28.60,1.75,0.73,
Kranj,Jesenice,21653,Jesenice,ZD Jesenice,ZD Jesenice,75.80,2,1,
Kranj,Jezersko,676,Kranj,ZD Kranj,ZD Kranj,68.80,
Ljubljana,Kamnik,29953,Kamnik,ZD Kamnik,ZD Kamnik,265.60,1.50,1,
Nova Gorica,Kanal,5228,Nova Gorica,ZD Nova Gorica,ZD Nova Gorica,146.50,
Nova Gorica,Kobarid,4061,Tolmin,ZD Tolmin,ZD Tolmin,192.60,
Ljubljana,Kočevje,15620,Kočevje,ZD Kočevje,ZD Kočevje,555.40,1.50,1,1,
Koper,Komen,3631,Sežana,ZD Sežana,ZD Sežana,102.70,
Ljubljana,Komenda,6469,Kamnik,ZD Kamnik,ZD Kamnik,24.10,
Koper,Koper/Capodistria,53440,Koper,ZD Koper,ZD Koper,303.20,1,1.04,1,
Ljubljana,Kostel,688,Kočevje,ZD Kočevje,ZD Kočevje,56.10,
Kranj,Kranj,56784,Kranj,ZD Kranj,ZD Kranj,150.90,1,1.50,1.30,
Kranj,Kranjska Gora,7970,Jesenice,ZD Kranjska Gora,ZD Jesenice,256.30,1,
Ljubljana,Litija,15692,Litija,ZD Litija,ZD Litija,221.40,1.30,1,
Ljubljana,Ljubljana,293822,Ljubljana,ZD Ljubljana,RP UKCL,275,4,7.50,4,1,
Ljubljana,Log - Dragomer,3647,Vrhnika,ZD Vrhnika,RP UKCL,11,
Ljubljana,Logatec,14694,Logatec,ZD Logatec,ZD Logatec,173.10,1,1,
Ljubljana,Loška dolina,3711,Cerknica,ZD Cerknica,ZD Cerknica,166.80,
Ljubljana,Loški Potok,1796,Ribnica,ZD Ribnica,ZD Ribnica,134.50,
Ljubljana,Lukovica,5949,Domžale,ZD Domžale,ZD Domžale,74.90,
Ljubljana,Medvode,16785,Ljubljana,ZD Medvode,RP UKCL,77.60,
Ljubljana,Mengeš,8481,Domžale,ZD Domžale,ZD Domžale,22.40,
Novo mesto,Metlika,8446,Metlika,ZD Metlika,ZD Metlika,108.90,0.20,1,
Nova Gorica,Miren - Kostanjevica,5057,Nova Gorica,ZD Nova Gorica,ZD Nova Gorica,62.80,
Novo mesto,Mirna,2671,Trebnje,ZD Trebnje,ZD Trebnje,31.30,
Novo mesto,Mirna Peč,3064,Novo mesto,ZD Novo mesto,ZD Novo mesto,48,
Novo mesto,Mokronog - Trebelno,3146,Trebnje,ZD Trebnje,ZD Trebnje,73.40,
Ljubljana,Moravče,5489,Domžale,ZD Domžale,ZD Domžale,61.40,
Kranj,Naklo,5392,Kranj,ZD Kranj,ZD Kranj,28.30,
Nova Gorica,Nova Gorica,31835,Nova Gorica,ZD Nova Gorica,ZD Nova Gorica,279.50,1,1.20,1,
Novo mesto,Novo mesto,37339,Novo mesto,ZD Novo mesto,ZD Novo mesto,235.70,1,1,1.30,
Ljubljana,Osilnica,325,Kočevje,ZD Kočevje,ZD Kočevje,36.20,
Koper,Piran/Pirano,18441,Piran,ZD Piran,ZD Koper,44.60,1.30,
Koper,Pivka,6222,Postojna,ZD Postojna,ZD Postojna,223.30,
Koper,Postojna,16699,Postojna,ZD Postojna,ZD Postojna,269.90,2,0.20,1,
Kranj,Preddvor,3800,Kranj,ZD Kranj,ZD Kranj,87,
Kranj,Radovljica,19342,Radovljica,ZD Radovljica,ZD Bled,118.70,1,
