zd,st,povrsina
ZD Ajdovščina,25505,352.6
ZD Koper,75130,355.8
ZD Gornja Radgona,19956,213.5
ZD Murska Sobota,54857,691.7
ZD Lenart,19970,204.5
ZD Šmarje pri Jelšah,32896,400.2
ZD Bled,36152,640.9000000000001
ZD Cerknica,16982,482.90000000000003
RP UKCL,438051,1536.6
ZD Tolmin,18234,942.2
ZD Žalec,43129,334.79999999999995
ZD Nova Gorica,58352,605.1999999999999
ZD Brežice,24346,268.1
ZD Celje,64628,230.0
ZD Kranj,83345,453.30000000000007
ZD Idrija,16265,425.1
ZD Ptuj,68254,629.0999999999999
ZD Lendava,22385,256.80000000000007
Zdravstveno reševalni center Koroške,70636,1040.7999999999997
ZD Črnomelj,18214,486.4
ZD Sežana,26647,660.0
ZD Šentjur,20297,239.8
ZD Novo mesto,66757,777.3
ZD Domžale,60610,239.6
ZD Maribor,185687,738.4
ZD Škofja Loka,42872,512.2
ZSDZ NAZARJE,16306,508.3
ZD Hrastnik,8980,58.6
ZD Ilirska Bistrica,13354,480.0
ZD Izola,16717,28.6
ZD Jesenice,34101,374.70000000000005
ZD Kamnik,36422,289.70000000000005
ZD Kočevje,16633,647.7
ZD Krško,28218,344.8
ZD Ljutomer,17342,175.20000000000002
ZD Laško,13059,197.5
ZD Litija,21356,316.3
ZD Logatec,14694,173.1
ZD Ribnica,13662,337.6
ZD Slovenska Bistrica,36604,367.70000000000005
ZD Metlika,8446,108.9
ZD Trebnje,22167,317.1
ZD Ormož,15869,212.4
ZD Postojna,22921,493.2
ZD Radeče,4147,52.0
ZD Sevnica,17651,272.2
ZD Slovenske Konjice,24119,224.2
ZD Velenje,45613,197.3
(prazno),1193,17.6
ZD Trbovlje,15917,58.0
OZG Gorenjske,15031,155.4
ZD Zagorje,16328,147.1
