zd,st,povrsina
ZD Ajdovščina,25549,353
ZD Koper,56744,311
ZD Bled,11029,188
ZD Cerknica,16952,483
ZD Bohinj,5676,334
ZD Vrhnika,25994,169
ZD Tolmin,18175,942
ZD Nova Gorica,58314,605
ZD Ljubljana,347574,723
ZD Kranj,83291,453
ZD Idrija,16275,425
ZD Črnomelj,18143,486
ZD Sežana,26817,660
ZD Grosuplje,25204,237
ZD Novo mesto,63188,749
ZD Domžale,60792,240
ZD Škofja Loka,42969,512
ZD Ilirska Bistrica,13399,480
ZD Ivančna Gorica,17599,227
ZD Izola,16647,29
ZD Jesenice,26237,118
ZD Kamnik,36275,290
ZD Kočevje,16622,648
ZD Kranjska Gora,7689,256
ZD Litija,21420,316
ZD Logatec,14699,173
ZD Ribnica,18344,441
ZD Medvode,16792,78
ZD Metlika,8452,109
ZD Trebnje,22206,317
ZD Piran,18432,45
ZD Postojna,22983,493
ZD Radovljica,19325,119
ZD Novo mesto ,3881,28
ZD Tržič,15011,155
ZD Gornja Radgona,19943,214
ZD Murska Sobota,54775,692
ZD Lenart,20062,204
ZD Šmarje pri Jelšah,32901,400
ZD Žalec,43211,335
ZD Brežice,24370,268
ZD Celje,64415,230
ZD Ptuj,69379,647
ZD Lendava,22224,257
ZD Ravne na Koroškem,24728,304
ZD Šentjur,20320,240
ZD Dravograd,8882,105
ZD Maribor,186034,738
ZSDZ NAZARJE,16480,508
ZD Hrastnik,8963,59
ZD Krško,28286,345
ZD Ljutomer,17284,175
ZD Laško,12976,198
ZD Slovenska Bistrica,36714,368
ZD Slovenj Gradec,21248,286
ZD Radlje ob Dravi,15713,346
ZD Ormož,15809,212
ZD Radeče,4146,52
ZD Sevnica,17661,272
ZD Slovenske Konjice,24063,224
ZD Velenje,45694,197
ZD Trbovlje,15893,58
ZD Zagorje,16307,147
