obcina,enota_nmp,povrsina,st_preb
Ajdovščina,ZD Ajdovščina,245.2,19727
Ankaran/Ancarano,ZD Koper,8.0,3282
Bled,ZD Bled,72.3,8250
Bloke,ZD Cerknica,75.1,1610
Bohinj,ZD Bohinj,333.7,5676
Borovnica,ZD Vrhnika,42.3,4629
Bovec,ZD Tolmin,367.3,3178
Brda,ZD Nova Gorica,72.0,5632
Brezovica,ZD Ljubljana,91.2,12823
Cerklje na Gorenjskem,ZD Kranj,78.0,7901
Cerknica,ZD Cerknica,241.0,11718
Cerkno,ZD Idrija,131.5,4546
Črnomelj,ZD Črnomelj,339.7,14279
Divača,ZD Sežana,145.0,4371
Dobrepolje,ZD Grosuplje,103.1,3871
Dobrova - Polhov Gradec,ZD Ljubljana,117.5,7844
Dol pri Ljubljani,ZD Ljubljana,33.3,6348
Dolenjske Toplice,ZD Novo mesto,110.2,3589
Domžale,ZD Domžale,72.3,36905
Gorenja vas - Poljane,ZD Škofja Loka,153.3,7672
Gorje,ZD Bled,116.2,2779
Grosuplje,ZD Grosuplje,133.8,21333
Horjul,ZD Ljubljana,32.5,3006
Hrpelje - Kozina,ZD Sežana,194.9,4970
Idrija,ZD Idrija,293.6,11729
Ig,ZD Ljubljana,98.8,7695
Ilirska Bistrica,ZD Ilirska Bistrica,480.0,13399
Ivančna Gorica,ZD Ivančna Gorica,227.0,17599
Izola/Isola,ZD Izola,28.6,16647
Jesenice,ZD Jesenice,75.8,21758
Jezersko,ZD Kranj,68.8,667
Kamnik,ZD Kamnik,265.6,29793
Kanal,ZD Nova Gorica,146.5,5245
Kobarid,ZD Tolmin,192.6,4044
Kočevje,ZD Kočevje,555.4,15623
Komen,ZD Sežana,102.7,3634
Komenda,ZD Kamnik,24.1,6482
Koper/Capodistria,ZD Koper,303.2,53462
Kostel,ZD Kočevje,56.1,678
Kranj,ZD Kranj,150.9,56639
Kranjska Gora,ZD Kranjska Gora,256.3,7689
Litija,ZD Litija,221.4,15720
Ljubljana,ZD Ljubljana,275.0,293218
Log - Dragomer,ZD Vrhnika,11.0,3681
Logatec,ZD Logatec,173.1,14699
